Bankcode,Roepnaam bank,Soort locatie,Type vestiging,Adres,Postcode,Plaatsnaam,Telefoonnummer,Email-adres,Offerte,Inventarisatie,Waardering,Advies,Besluitvorming (fase altijd van toepassing maar omdat intern datum bij ons vrijwel nooit bekend),Ontzamelen,Inrichten,Kunst in opdracht,Beheer
1108,Peelland Zuid,Bijkantoor,Verkoopkantoor,Emmastraat 9,5721HA,Asten,0493-393393,Info.Peellandzuid@rabobank.nl,,,,,,,,,
1108,Peelland Zuid,Hoofdkantoor,"Directie, Staven en Diensten",De Poort 3,5751CN,Deurne,0493-393393,Info.Peellandzuid@rabobank.nl,,,,,,,,,
1108,Peelland Zuid,Hoofdkantoor,Adviescentrum,De Poort 3,5751CN,Deurne,0493-393393,Info.Peellandzuid@rabobank.nl,,,,,,,,,
1108,Peelland Zuid,Bijkantoor,Verkoopkantoor,Margrietstraat 71,5731BN,Mierlo,0493-393393,info.peellandzuid@rabobank.nl,,,,,,,,,
1108,Peelland Zuid,Bijkantoor,Verkoopkantoor,Wilhelminaplein 29,5711EL,Someren,0493-393393,info.Peellandzuid@rabobank.nl,,,,,,,,,
1127,Maas en Waal,Hoofdkantoor,Adviescentrum,Van Heemstraweg 58,6651KH,Druten,0487-580200,info@mw.rabobank.nl,,,,,,,,,
1127,Maas en Waal,Bijkantoor,Servicekantoor,Zandstraat 113,6658CP,Beneden-Leeuwen,0487-580200,info.mw@rabobank.nl,,,,,,,,,
1159,Dommelstreek,Hoofdkantoor,Verkoopkantoor,Laan der 4 Heemskinderen 7,5664TH,Geldrop,040-2807500,info.dommelstreek@rabobank.nl,160808,161013,161013,nvt,,nvt,nvt,nvt,nvt
1159,Dommelstreek,Hoofdkantoor,Adviescentrum,Laan der 4 Heemskinderen 7,5664TH,Geldrop,040-2807500,info.dommelstreek@rabobank.nl,160808,161013,161013,nvt,,nvt,nvt,nvt,nvt
1159,Dommelstreek,Hoofdkantoor,Adviescentrum,Laan der 4 Heemskinderen 7,5664TH,Geldrop,040-2807500,info.dommelstreek@rabobank.nl,160808,161013,161013,nvt,,nvt,nvt,nvt,nvt
1159,Dommelstreek,Bijkantoor,Bankwinkel,Kapelstraat 74,5591HG,Heeze,040-2807500,info.dommelstreek@rabobank.nl,160808,161013,161013,nvt,,nvt,nvt,nvt,nvt
1159,Dommelstreek,Bijkantoor,Bankwinkel,Korte Kerkstraat 1,5664HE,Geldrop,040-2807500,info.dommelstreek@rabobank.nl,160808,161013,161013,nvt,,nvt,nvt,nvt,nvt
1159,Dommelstreek,Bijkantoor,Bankwinkel,Park 34-36,5671GA,Nuenen,040-2807500,info.dommelstreek@rabobank.nl,160808,161013,161013,nvt,,nvt,nvt,nvt,nvt
1161,Peel Noord,Bijkantoor,Adviescentrum,Koppelstraat 91,5741GB,Beek en Donk,0492-391919,info.peelnoord@rabobank.nl,151202,161013,161013,161012,,,nvt,nvt,nvt
1161,Peel Noord,Bijkantoor,"Directie, Staven en Diensten",Koppelstraat 91,5741GB,Beek en Donk,0492-391919,info.peelnoord@rabobank.nl,151202,161013,161013,161012,,,nvt,nvt,nvt
1161,Peel Noord,Hoofdkantoor,"Directie, Staven en Diensten",Ridderplein 7,5421CV,Gemert,0492-391919,info.peelnoord@rabobank.nl,151202,161013,161013,161012,,,nvt,nvt,nvt
1161,Peel Noord,Hoofdkantoor,Verkoopkantoor,Ridderplein 7,5421CV,Gemert,0492-391919,info.peelnoord@rabobank.nl,151202,161013,161013,161012,,,nvt,nvt,nvt
1167,Breda,Bijkantoor,Servicekantoor,De Burcht 18,4834HE,Breda,076-5308000,info@breda.rabobank.nl,170202,,,,,,,,
1167,Breda,Bijkantoor,Verkoopkantoor,Loopstraat 2,4841AD,Prinsenbeek,076-5308000,info.breda@rabobank.nl,170202,,,,,,,,
